Study ID,Active/Drug,Study Duration (days),Dose (mg),N (Treatment arm),Biomarker,Outcome name,Baseline Mean,Final Mean,Absolute Change ,Rate,Dose Normalised rate ,Unit,P Value
MA2025,Tirzepatide SC,42,10,37,Energy Intake,Ad libitum lunch energy intake – week 6,926.4,268.6,-657.8,-15.66190476,-1.566190476,kcal,<0.0001
MA2025,Liraglutide SC,42,3,38,Energy Intake,Ad libitum lunch energy intake – week 6,1044.8,730.3,-314.5,-7.488095238,-2.496031746,kcal,<0.0001
HE2023,Tirzepatide SC,196,15,45,Energy Intake,Ad libitum buffet-style lunch energy intake – week 28,1105,756.6,-348.4,-1.77755102,-0.118503401,kcal,<0.001
GA2021,Semaglutide Oral,84,14,13,Energy Intake,Ad libitum snack box,1245.2,773.7,-471.5,-5.613095238,-0.400935374,kcal,0.0058
GI2021,Semaglutide SC,84,14,15,Energy Intake,Total Daily Ad libitum Energy Intake,3127.868069,1909.894837,-1217.973231,-14.49968133,-1.035691523,kcal,0.0001
KA2020,Liraglutide SC,112,3,17,PYY,Postprandial PYY AUC0–90 min,10597.5,14718,4120.5,36.79017857,12.26339286,pg/mL,0.04
GA2024,Semaglutide Oral,140,50,28,Energy Intake,Ad libitum lunch energy intake – week 20,660.6118547,452.91587,-207.6959847,-1.483542748,-0.029670855,kcal,<0.05
BL2017,Semaglutide SC,84,1,28,Energy Intake,Ad libitum lunch energy intake,868.5468451,568.3556405,-300.1912046,-3.573704817,-3.573704817,kcal,<0.0001
JU2026,Dulaglutide SC,168,0.75,67,Leptin,Leptin,11000,6000,-5000,-29.76190476,-39.68253968,ng/mL,<0.001
FR2021,Semaglutide SC,140,2.4,35,Energy Intake,Ad libitum lunch energy intake,791.8260038,414.9139579,-376.9120459,-2.692228899,-1.121762041,kcal,<0.0001
HE2023,Semaglutide SC,196,1,44,Energy Intake,Ad libitum lunch energy intake – Week 28,1131,846.9,-284.1,-1.449489796,-1.449489796,kcal,<0.001
GA2021,Semaglutide Oral,84,14,13,Energy Intake,Ad libitum lunch meal,796.1,509.8,-286.3,-3.408333333,-0.243452381,kcal,0.0257
GA2021,Semaglutide Oral,84,14,13,Energy Intake,Ad libitum evening meal,1086.5,626.2,-460.3,-5.479761905,-0.391411565,kcal,0.0263
BL2017,Semaglutide SC,84,1,30,Energy Intake,Ad libitum lunch energy intake,868.5468451,568.3556405,-300.1912046,-3.573704817,-3.573704817,kcal,<0.0001
BL2017,Semaglutide SC,84,1,30,Energy Intake,Ad libitum evening meal energy intake,1007.170172,827.1988528,-179.9713193,-2.142515706,-2.142515706,kcal,0.0401
BL2017,Semaglutide SC,84,1,30,Energy Intake,Ad libitum snack box energy intake,1092.973231,847.2753346,-245.6978967,-2.924974961,-2.924974961,kcal,0.0034
BL2017,Semaglutide SC,84,1,30,Energy Intake,Total daytime ad libitum energy intake,2968.690249,2242.829828,-725.8604207,-8.641195484,-8.641195484,kcal,<0.0001
FR2021,Semaglutide,140,2.4,72,Energy Intake,Ad libitum lunch energy intake (absolute),791.8260038,414.9139579,-376.9120459,-2.692228899,-1.121762041,kcal,<0.0001
SX2021,Liraglutide SC,42,3,32,Energy Intake,48-hour Energy Intake – Week 3,5253,4393,-860,-20.47619048,-6.825396825,kcal,<0.0001
SX2021,Liraglutide SC,42,3,32,Energy Intake,48-hour Energy Intake – Week 6,5253,4324,-929,-22.11904762,-7.373015873,kcal,<0.0001
NC2022,Liraglutide SC,365,3,36,VAS Scores,Hunger (fasting),NA,NA,-5.5,-0.015068493,-0.005022831,mm,significant
